time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
22561.55014038086,76165.19927978516,86526.87072753906,308074.951171875
21934.50927734375,54020.88165283203,100448.1315612793,174918.17474365234
18007.755279541016,85184.57412719727,67265.03372192383,1140468.1205749512
28774.738311767578,69503.7841796875,79548.35891723633,144052.50549316406
59008.59832763672,43945.3125,116860.86654663086,231387.61520385742
30725.00228881836,18274.784088134766,99716.1865234375,128109.45510864258
119364.26162719727,97067.35610961914,144865.5128479004,248227.11944580078
44760.704040527344,97730.15975952148,108294.48699951172,134265.42282104492
33335.68572998047,48463.34457397461,116574.76425170898,130972.86224365234
119092.46444702148,32072.067260742188,135128.49807739258,169525.146484375
108764.1716003418,67493.91555786133,102887.15362548828,249919.89135742188
56445.59860229492,67481.99462890625,174455.6427001953,195567.60787963867
45986.175537109375,50110.816955566406,91078.28140258789,156352.51998901367
32844.54345703125,31898.021697998047,102145.67184448242,170764.92309570312
31211.376190185547,29356.47964477539,109064.57901000977,276854.0382385254
60465.335845947266,36828.51791381836,100679.39758300781,141127.1095275879
61502.45666503906,75671.67282104492,125379.56237792969,168647.76611328125
10712.146759033203,44581.89010620117,104117.39349365234,182969.5701599121
