time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
29795.169830322266,57923.79379272461,107347.96524047852,189330.5778503418
22671.222686767578,121846.19903564453,103218.55545043945,186638.83209228516
67322.2541809082,120744.70520019531,105607.50961303711,188081.2644958496
66518.78356933594,83382.12966918945,101938.24768066406,213999.74822998047
37450.79040527344,121202.46887207031,129134.6549987793,239999.29428100586
101923.94256591797,108225.34561157227,109915.73333740234,180275.44021606445
109691.61987304688,128715.03829956055,105285.64453125,253014.56451416016
23388.86260986328,44844.15054321289,109622.47848510742,150253.7727355957
112824.4400024414,135281.08596801758,105297.56546020508,244424.34310913086
103595.25680541992,39017.2004699707,137729.64477539062,218808.65097045898
83534.71755981445,125973.22463989258,104284.28649902344,237007.14111328125
24580.955505371094,49374.10354614258,91171.2646484375,130546.09298706055
97327.23236083984,114428.99703979492,123808.38394165039,206170.08209228516
82738.39950561523,136618.61419677734,57313.44223022461,206699.37133789062
88071.82312011719,127668.38073730469,103309.15451049805,220048.4275817871
98979.47311401367,111625.19454956055,88808.53652954102,209679.60357666016
101335.04867553711,53548.81286621094,106234.55047607422,197649.0020751953
23095.60775756836,38511.75308227539,104379.65393066406,157644.74868774414
35741.329193115234,157871.24633789062,90637.20703125,251369.47631835938
100388.5269165039,131809.71145629883,77493.19076538086,226509.57107543945
20811.55776977539,31657.21893310547,118479.72869873047,141193.86672973633
108571.05255126953,157234.66873168945,113751.88827514648,211834.90753173828
50930.97686767578,106275.08163452148,105488.30032348633,241203.30810546875
27029.51431274414,46379.56619262695,103878.97491455078,141506.19506835938
91757.77435302734,107352.73361206055,121707.91625976562,189597.60665893555
29768.943786621094,59313.77410888672,112802.98233032227,180068.0160522461
107321.73919677734,55825.71029663086,109624.86267089844,169677.734375
105614.66217041016,60439.109802246094,111172.19924926758,299689.76974487305
