time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
2954.0061950683594,97067.35610961914,203197.00241088867,294678.2112121582
15769.004821777344,111730.09872436523,181005.00106811523,289494.99130249023
16303.062438964844,121629.23812866211,199310.7795715332,285437.10708618164
16474.72381591797,73764.32418823242,190703.8688659668,282640.4571533203
13511.180877685547,75740.81420898438,191130.6381225586,285606.38427734375
20146.36993408203,112714.76745605469,205376.14822387695,262641.90673828125
15301.704406738281,120930.67169189453,157077.31246948242,286777.0195007324
13372.89810180664,96261.50131225586,191674.23248291016,282678.60412597656
17790.794372558594,114128.58963012695,213184.35668945312,271022.3197937012
25124.549865722656,102548.59924316406,175306.7970275879,280821.3233947754
15728.473663330078,113873.48175048828,222370.62454223633,253880.02395629883
13954.639434814453,88348.388671875,184364.31884765625,296766.7579650879
17378.33023071289,111703.87268066406,188620.09048461914,263290.4052734375
19783.973693847656,46288.96713256836,262410.64071655273,257811.5463256836
15182.4951171875,106191.63513183594,193524.36065673828,290672.77908325195
17850.399017333984,121066.57028198242,166318.41659545898,292594.43283081055
148622.98965454102,57489.871978759766,180253.9825439453,289905.0712585449
14922.618865966797,93712.80670166016,175864.69650268555,274634.36126708984
12383.460998535156,108649.73068237305,170922.27935791016,213396.54922485352
22084.712982177734,61438.08364868164,188322.0672607422,246191.02478027344
43158.531188964844,52287.57858276367,190293.7889099121,259211.06338500977
21409.988403320312,92282.29522705078,182976.72271728516,257568.359375
10724.067687988281,106413.36441040039,188720.2262878418,268969.5358276367
26576.519012451172,83558.55941772461,176632.40432739258,270700.45471191406
37744.04525756836,98865.03219604492,235395.4315185547,210115.90957641602
31228.065490722656,84118.84307861328,190629.9591064453,278687.4771118164
163357.25784301758,86054.80194091797,181119.44198608398,259077.5489807129
16026.496887207031,70412.15896606445,179572.10540771484,287926.19705200195
16.689300537109375,88424.6826171875,189459.32388305664,254087.4481201172
23486.614227294922,97341.53747558594,167942.04711914062,272388.4582519531
12400.150299072266,101206.30264282227,209357.73849487305,237967.96798706055
19230.84259033203,59890.7470703125,179200.1724243164,255379.67681884766
24495.12481689453,118370.05615234375,188059.80682373047,251004.69589233398
11568.069458007812,66006.18362426758,190074.44381713867,300736.4273071289
21.457672119140625,79987.0491027832,187530.517578125,254597.66387939453
21195.411682128906,66874.02725219727,189554.69131469727,269196.0334777832
44136.04736328125,132243.63327026367,193927.28805541992,254638.1950378418
22816.65802001953,34003.257751464844,187852.3826599121,216677.18887329102
23221.969604492188,84576.60675048828,181961.0595703125,312588.2148742676
24189.94903564453,99203.58657836914,268228.05404663086,243082.04650878906
17893.314361572266,95167.16003417969,185959.3391418457,221192.8367614746
21672.24884033203,84702.96859741211,184853.07693481445,310671.329498291
30832.290649414062,39758.68225097656,192122.4594116211,218453.40728759766
26669.50225830078,99706.64978027344,223813.05694580078,300514.69802856445
21877.288818359375,84159.37423706055,205471.51565551758,277099.609375
10480.880737304688,66971.7788696289,189998.14987182617,246183.8722229004
25789.737701416016,113768.5775756836,212330.81817626953,311088.56201171875
33128.26156616211,113325.11901855469,193014.14489746094,287480.35430908203
18372.535705566406,77028.27453613281,190412.9981994629,309505.4626464844
31983.85238647461,122449.39804077148,189986.2289428711,303647.518157959
22635.459899902344,70495.60546875,192704.2007446289,259242.05780029297
20720.958709716797,77385.90240478516,260107.51724243164,286459.92279052734
49180.98449707031,121431.35070800781,193626.88064575195,248525.14266967773
32453.536987304688,104110.2409362793,213007.92694091797,230467.3194885254
214321.61331176758,137162.2085571289,185837.7456665039,1991858.4823608398
30848.979949951172,43740.272521972656,191054.3441772461,272741.31774902344
27792.45376586914,130772.59063720703,198960.3042602539,288193.2258605957
20811.55776977539,101580.61981201172,213232.04040527344,289170.7420349121
15971.660614013672,97112.65563964844,208282.470703125,266811.8476867676
33423.90060424805,57811.737060546875,208330.1544189453,302233.6959838867
32925.60577392578,65550.8041381836,288155.07888793945,286967.7543640137
38096.90475463867,61340.33203125,180842.87643432617,277330.8753967285
27654.170989990234,119719.5053100586,228443.14575195312,268616.6763305664
20921.23031616211,105435.84823608398,205488.2049560547,256717.20504760742
26636.123657226562,118880.2719116211,261654.85382080078,248229.5036315918
25577.545166015625,84445.47653198242,187704.56314086914,259828.5675048828
11334.419250488281,72631.8359375,185613.63220214844,243721.00830078125
23741.722106933594,59895.51544189453,187675.95291137695,291311.74087524414
