time_interval_authentication (us),time_interval_association (us),time_interval_eapol_first (us),time_interval_eapol_second (us)
18498.897552490234,29742.717742919922,114364.6240234375,133042.3355102539
8454.322814941406,26729.106903076172,109684.46731567383,144107.34176635742
13391.971588134766,52602.291107177734,109422.20687866211,150120.25833129883
21908.283233642578,27847.2900390625,112679.00466918945,149435.99700927734
40.531158447265625,10364.055633544922,115189.5523071289,134925.84228515625
20167.827606201172,29931.068420410156,109894.2756652832,151100.15869140625
19.073486328125,10750.293731689453,106062.8890991211,139660.83526611328
8614.063262939453,22478.103637695312,115418.4341430664,129866.6000366211
4062.652587890625,31189.918518066406,147173.40469360352,162827.9685974121
22006.03485107422,49943.92395019531,108048.91586303711,139503.47900390625
12571.81167602539,20418.167114257812,112888.81301879883,158002.37655639648
54352.2834777832,57570.9342956543,105893.61190795898,135574.3408203125
33688.54522705078,39222.24044799805,111074.44763183594,139009.95254516602
19.073486328125,38607.120513916016,117321.01440429688,152900.21896362305
55587.2917175293,43134.68933105469,83136.55853271484,144009.59014892578
19.073486328125,25973.32000732422,108501.91116333008,145285.12954711914
36454.200744628906,45990.943908691406,118253.23104858398,241277.21786499023
21200.180053710938,30341.148376464844,110852.71835327148,146722.79357910156
3132.8201293945312,32117.366790771484,115556.71691894531,149502.75421142578
12178.421020507812,13158.321380615234,116155.14755249023,138690.47164916992
18467.90313720703,29506.683349609375,105738.63983154297,137350.55923461914
25908.946990966797,34978.389739990234,108487.60604858398,158197.87979125977
16827.58331298828,48763.75198364258,117840.76690673828,317730.9036254883
26712.417602539062,45785.90393066406,104148.38790893555,130913.25759887695
10921.955108642578,36172.86682128906,105624.19891357422,141277.31323242188
